"name","description","municipal","type","cost"
"Создание производственно-логистического центра вблизи ст. Сульфат","Cоздание производственно-логистического центра с организацией производства металлических конструкций,  сборочного производства крупной бытовой техники и логистического комплекса грузовых перевозок.","Селенгинский район, ст. Сульфат","Промышленность и","4 061 млн.руб."
"Создание производственно-логистического центра в г. Гусиноозерск","Для создания производственно-логистического центра в г. Гусиноозерск, включающего создание производства по переработке газового конденсата со складом сырья и нефтепродуктов и производства синтетического топлива и электроэнергии на основе глубокой переработки бурых углей.","Селенгинский район, г. Гусиноозерск","Промышленность и","11 480 млн.руб."
"Комплексная жилая застройка 104 мкр в Юго-Западной части г.Улан-Удэ","Предусмотрено ввести в эксплуатацию около 200 тыс. кв.м. жилья, 20,1 тыс. кв.м. площадей общественно деловой застройки, строительство объектов социального обслуживания: два детских сада-ясли на 240 мест каждый и школы на 900 учащихся. Предусматривается создание 450 рабочих мест. Объем ежегодных налоговых поступлений 994 млн.руб.","г. Улан-Удэ","Промышленность и","6800 млн. руб."
"Создание деревообрабатывающего комплекса в Республике Бурятия"" ООО ""ИТ-АЛМАК-БАЙКАЛ","Создание современного деревоперерабатывающего комплекса, осуществляющего заготовку и глубокую переработку круглого леса, пиловочника и балансовой древесины, включая древесные отходы. Общий объем заготовки древесины – 408 тыс. куб. м. в год\r\nОбщий объем производства продукции – до 120 тыс. куб. м. в год. Количество рабочих мест – 100. ","null","Промышленность и","755 млн.руб."
"ООО ""Байкальская древесно-угольная компания""\r\nБайкальский древесно-угольный комбинат в п. Селенгинск Кабанского района Республики Бурятия","Внедрение на территории Республики Бурятия инновационной ресурсосберегающей и экологически безопасной технологии переработки древесины и отходов лесозаготовительных производств с получением товарной продукции в виде древесного угля промышленного применения.Мощность проекта - 7200 тонн товарной продукции в год. \r\nПредусматривается создание 67 рабочих мест.Объем ежегодных налоговых поступлений 0,9 млн.руб."," п. Селенгинск Кабанского района Республики Бурятия","Промышленность и","166 млн. руб."
"Создание производственного - логистического комплекса по переработке древесины ООО ""Байкальская производственно-логистическая компания"," На территории будут расположены производственные здания для переработки древесины: распиловочный цех, сушильный  комплекс. Проектом предполагается производить следующие виды продукции: комплектующие из березы для предметов пляжного отдыха; обрезной пиломатериал; сухой пиломатериал, погонажные изделия; услуги для торговых и логистических компаний по обработке грузов.\r\n Проектом предусматривается создание 500 рабочих мест. Объем ежегодных налоговых поступлений 1,5 млн.руб.","Кабанский район, с. Брянск","Промышленность и","500 млн. руб."
"Организация растениеводческого комплекса в Кабанском районе и строительство тепличного комплекса (ООО ""Байкалсельхоз"")","Цель проекта: производство зерновых культур (овес продовольственный) и сена многолетних трав (люцерна) с последующей реализацией в республике и за её пределами (КНР), а также ведение тепличного хозяйства для круглогодичного производства овощей (огурцы, помидоры).Проектная мощность предприятия составит 6 000 тонн сенажа и 1 000 тонн овощей в год. Проектом предусматривается создание более 25 рабочих мест.","Кабанский район","Промышленность и","500 млн. руб."
"Создание медицинского центра кинезитерапии в Республике Бурятии"" ООО ""Альянсстрой","Цель проекта - Строительство Центра по лечению и реабилитации заболеваний опорно-двигательного аппарата и связанных с ним болезней как отдельно взятого медицинского центра. Ориентировочный объем услуг кинезотерапии составит 3000 в год. Создание новых рабочих мест - 33","null","Промышленность и","93 млн. руб."
"Глубокая модернизация производства хризолитцементных изделий ООО ""Тимлюйский завод"" ","Проектом предполагается производить следующие виды продукции:- до 1 200 тысяч кровельных листов окрашенных по инновационной технологии, из них до 300 тысяч листов будут нового, ранее не предлагаемого рынку профиля и размера.\r\n- до 1 600 тысяч м2 плоского окрашенного листа, из них до 1 000 тысяч м2 будут с рельефной поверхностью (под «камень», «кирпич», «дерево»), ранее предлагаемой рынку только в виде дорогих листов от японских производителей, недоступных по цене рядовому покупателю. ","null","Промышленность и","450 млн. руб."
"Создание производственно-логистического комплекса глубокой переработки древесины ООО ""Леспромхоз""","Проектом предусматривается строительство комплекса по производству строганных пиломатериалов, технологической щепы и древесного угля. Общий объем лесозаготовительного производства составит 229,2 тыс. куб.м. древесины в год, в том числе деловой 178,8 куб.м. ","null","Промышленность и","760 млн. руб."
"Создание современного производственно-логистического комплекса по деревопереработке","Стоимость проекта 1074 млн.руб.Проектом предполагается производить следующие виды продукции: обрезной пиломатериал, оцилиндрованное бревно, оцилиндрованный брус, клееный брус, половую рейку, «вагонку», ориентированно-стружечную плиту (ОСП), древесно-полимерный композит (ДПК), топливные гранулы. ","null","Промышленность и","1074 млн. руб."
