"name","description","municipal","investor","cost","start","end","x","y"
"Научно-производственный центр инновационных разработок","Создание научно-производственного центра инновационных разработок в области биорегуляции и специализированного питания в моногороде Новоалтайске, ООО НПФ «Алтайский букет»

Текущий статус проекта: построено здание завода.","город Новоалтайск, город Новоалтайск","ООО НПФ «Алтайский букет»",1200,"2011","",9352577.75140134,7058352.43131588
"Строительство маслосырзавода","Завершена 1 очередь реализации инвестиционного проекта, объект введен в эксплуатацию, произведен технический запуск","Новоалтайск, Новоалтайск","ООО &quot;Покровская сыроварня&quot;",170,"","",9346666.53059292,7057261.5292236
"Строительство и ввод в эксплуатацию новой котельной ТЭЦ ","Ведутся строительно-монтажные работы: монтаж котлов, строительство мазуто-насосной станции, монтаж оборудования главного корпуса, оборудования топливоподачи, технологических трубопроводов и электротехнического оборудования","пос. Степное Озеро, Благовещенский район","ОАО &quot;Кучуксульфат&quot;",2212,"","",8888799.44620601,6942611.56978808
"Приобретение оборудования","Приобретение оборудования для нанесения маркировки на лекарственные средства

Осуществляется поиск поставщиков оборудования","г. Бийск, г. Бийск","ЗАО «Алтайвитамины»",250,"2018","2019",9475199.52122679,6893031.69441973
"Инвестиционные проекты Короткоякского элеватора","Реконструкция производственных зданий,  модернизация оборудования, приобретение техники, благоустройство территории","с. Хабары, Хабарский район","АО «Короткоякский элеватор»",64,"","",8854328.03004799,7098184.59926561
"Добыча бурого угля","Проектные работы, восстановительные работы","село Сузоп, Солтонский район","ООО «Мунайский разрез»",111,"","",9643392.52948457,6942653.53129978
"Строительство, приобретение оборудования ","","село Троицкое, Троицкий район","Строительство, приобретение оборудования ",843,"","",9425839.01185567,6979319.74827803
"Строительство завода по производству маргарина","Строительство складских помещений и  цеха по производству масложировой продукции, модернизация оборудования","г. Барнаул, г. Барнаул","ООО «Любава»",80,"2017","2019",9317955.50846523,7045836.17836331
"Модернизация производства молочной продукции","Модернизация производства, замена технологического оборудования, расширение производственных площадей","г. Барнаул, г. Барнаул","ООО «Модест»",50,"","",9317955.50846523,7045836.17836331
"Строительство биофабрики","","г. Барнаул, г. Барнаул","ООО «Барнаульская Биофабрика»",450,"2017","2020",9317955.50846523,7045836.17836331
"Организация производства резиновой смеси","Изготовление резиновой  смеси для рукавов высокого давления шифр Д13Х91","г. Барнаул, г. Барнаул","ООО &quot;Барнаул РТИ&quot;",73,"2015","2019",9317955.50846523,7045836.17836331
"Модернизация производства","Капитальный ремонт производственных площадей, установка нового оборудования с организаций полной линии производства","г. Барнаул, г. Барнаул","АО «Барнаульский меланжевый комбинат «Меланжист Алтая»",9400,"","",9317955.50846523,7045836.17836331
"Строительство производственного цеха и других помещений","Строительство производственного цеха для участка намотки катушек, складского корпуса, вспомогательных и административных помещений","г. Барнаул, г. Барнаул","ОАО «Алттранс»",120,"2018","2020",9317955.50846523,7045836.17836331
"Модернизация линии фасовки","","г. Барнаул, г. Барнаул"," ООО &quot;Благо-Барнаул&quot;",87,"2018","2020",9317955.50846523,7045836.17836331
"Техническое переоснащение предприятия","Техническое переоснащение производства семечек","г. Барнаул, г. Барнаул","ООО «ВелКен»",77,"2017","2019",9317955.50846523,7045836.17836331
"Приобретение оборудования","","г. Заринск, г. Заринск","ООО «Холод»",71,"","",9456435.50785868,7117276.67045836
"Расширение производства молочных продуктов","","г. Рубцовск, г. Рубцовск","Рубцовский молочный завод филиал ОАО «Вимм Биль Данн»",398,"2016","2018",9041787.49219557,6713940.5093177
"Модернизация производства","","с. Староалейское, Третьяковский район","ООО «Третьяковский маслосырзавод»",47,"","2018",9127693.46681743,6622587.32127068
"Строительство универсального крупозавода","Строительство универсального крупозавода","ст. Третьяково, Третьяковский район","ООО «Третьяковский элеватор»",100,"","2018",9120345.48986915,6600048.89159768
"Строительство зданий, модернизация производства","Строительство пяти здания производственно-хозяйственного назначения, модернизация производственных отделений, приобретение оборудования ","с. Бочкари, Целинный район","ООО «Бочкаревский пивоваренный завод»",160,"","2018",9548233.45614899,6962340.14168196
"Создание литейного комплекса для нужд сельхозмашиностроения","","город Рубцовск, город Рубцовск","ЗАО «Рубцовский завод запасных частей»",120,"","",9039699.53929845,6715790.60432674
"Модернизация производственных мощностей молокоперерабатывающего завода ","","с. Буланиха, Зональный район","ООО «Алтайская Буренка»",160,"","",9454248.02420484,6946589.68875376
"Строительство цеха по производству масла","","станция Язевка-Сибирская, Алейский район","ЗАО «Язевское ХПП»",100,"","",9190753.00838531,6867099.48415482
